districtid,timeid,neighbormean,neighborstddev
257,5,752.75,428.86
257,6,767.75,454.21
257,7,178.5,193.82
258,1,0,0.0
258,2,15,26.28
258,3,270.33,416.1
258,4,1038.5,1528.98
258,5,3224,4656.06
258,6,7550,10965.73
258,7,1589.33,2244.15
259,1,0.33,0.58
259,2,19,32.91
259,3,438.33,745.4
259,4,2470,4108.97
259,5,10988.33,18551.88
259,6,23677.67,40315.55
259,7,5894,10108.41
260,1,0,0.0
260,2,2.17,3.71
260,3,58.83,71.4
260,4,613.5,856.8
260,5,3059,3247.06
260,6,3119.17,2604.74
260,7,464.67,231.01
261,1,0,0.0
261,2,4.33,10.61
261,3,47.33,60.04
261,4,53,64.32
261,5,174.67,305.2
261,6,664.5,1165.81
261,7,211.33,273.86
262,1,0,0
262,2,0,0
262,3,42,0
262,4,33,0
262,5,295,0
262,6,644,0
262,7,86,0
263,1,0,0.0
263,2,5.83,14.29
263,3,82.5,96.06
263,4,160.5,118.31
263,5,267.33,209.46
263,6,399.33,339.65
263,7,116.67,60.67
264,1,0,0.0
264,2,0.5,0.84
264,3,41.5,61.16
264,4,77.17,73.74
264,5,224.67,119.47
264,6,852.33,484.79
264,7,136.5,84.44
265,1,0,0.0
265,2,1.8,1.64
265,3,156,221.64
265,4,60.4,67.9
265,5,242.6,210.92
265,6,441.8,402.64
265,7,91.8,62.56
266,1,0,0.0
266,2,0,0.0
266,3,17.8,13.08
266,4,123.6,141.48
266,5,656.8,1129.89
266,6,2145.4,3576.89
266,7,1348.2,1989.09
267,1,0,0.0
267,2,3.4,3.13
267,3,52.4,30.75
267,4,145,68.15
267,5,851.8,660.93
267,6,2218,1319.48
267,7,311.8,186.09
268,1,0,0.0
268,2,0,0.0
268,3,1.25,1.26
268,4,1.25,2.5
268,5,9.5,10.47
268,6,104.75,150.55
268,7,22.25,32.66
269,1,19,42.49
269,2,195.4,433.58
269,3,362.2,729.46
269,4,3033.2,5993.12
269,5,13895.8,19449.32
269,6,23808.4,25897.13
269,7,5277.2,6573.86
270,1,0.5,0.71
270,2,28.5,40.31
270,3,649.5,918.53
270,4,3609.5,5097.53
270,5,16212.5,22906.72
270,6,35118.5,49652.33
270,7,8787,12415.38
271,1,0,0.0
271,2,0,0.0
271,3,0.2,0.45
271,4,14.2,20.97
271,5,170.8,344.33
271,6,215.4,248.49
271,7,87.2,141.65
272,1,0,0.0
272,2,0,0.0
272,3,0.25,0.5
272,4,1.5,2.38
272,5,28,42.45
272,6,42.75,48.42
272,7,27.25,46.59
273,1,0.33,0.52
273,2,19,29.43
273,3,433,670.8
273,4,2405.5,3724.65
273,5,10815.83,16726.77
273,6,23445.5,36237.58
273,7,5862.67,9065.37
274,1,0,0.0
274,2,0,0.0
274,3,10,8.76
274,4,91.5,70.78
274,5,192.5,184.25
274,6,1291,1097.36
274,7,517.75,599.14
275,1,0,0.0
275,2,2,2.83
275,3,26.4,20.13
275,4,252,128.52
275,5,1697,1481.97
275,6,4385.6,3819.78
275,7,1151.8,1343.7
276,1,0,0.0
276,2,0.38,0.74
276,3,31.75,55.48
276,4,166.75,213.21
276,5,1375.75,1454.33
276,6,3252.38,3810.79
276,7,929,1167.2
277,1,0,0.0
277,2,20.67,38.57
277,3,121.67,168.24
277,4,194,102.91
277,5,328.17,168.51
277,6,737.5,278.42
277,7,239.83,137.75
278,1,0,0.0
278,2,18,35.91
278,3,117.57,152.41
278,4,199.86,86.42
278,5,370.71,172.73
278,6,784.43,296.74
278,7,237.43,142.34
279,1,28.25,56.5
279,2,863.5,1709.03
279,3,4407.25,8101.54
279,4,18838,33162.65
279,5,14520.5,24144.79
279,6,11678.75,19090.89
279,7,4501.5,7518.86
280,1,0,0.0
280,2,1.75,0.96
280,3,64.5,9.68
280,4,51.5,9.11
280,5,230,85.6
280,6,1361.75,601.55
280,7,301.5,153.47
281,1,0,0.0
281,2,0.43,0.79
281,3,33.14,13.61
281,4,137.29,58.13
281,5,515.86,267.86
281,6,1091.57,626.94
281,7,272.71,180.74
282,1,0,0.0
282,2,0.5,1.22
282,3,33.5,29.36
282,4,144.17,141.92
282,5,325.67,261.23
282,6,794.5,488.83
282,7,260.83,203.28
283,1,0,0.0
283,2,15.2,18.85
283,3,76.4,41.11
283,4,293.8,242.27
283,5,1020.8,898.2
283,6,3434.4,2900.78
283,7,634.2,457.75
284,1,0,0.0
284,2,5.38,14.0
284,3,52.62,51.54
284,4,152.25,260.9
284,5,766.12,1267.54
284,6,1969.88,3303.05
284,7,460.75,721.8
285,1,0,0.0
285,2,1,1.41
285,3,36.75,28.69
285,4,50.75,10.84
285,5,191.5,88.59
285,6,720.75,545.11
285,7,138.75,126.78
286,1,0,0.0
286,2,5.86,5.43
286,3,86.14,59.38
286,4,112.57,168.47
286,5,366,508.26
286,6,1312.71,1366.61
286,7,433.86,473.58
287,1,0,0.0
287,2,24.25,47.84
287,3,140.5,201.78
287,4,231.75,98.6
287,5,407.75,155.07
287,6,997.75,367.0
287,7,292,133.97
288,1,0,0.0
288,2,3.33,6.06
288,3,39.17,32.02
288,4,268,268.59
288,5,2623.17,1871.38
288,6,7559.5,4279.36
288,7,1563.83,692.91
289,1,21.11,41.89
289,2,215.89,428.11
289,3,389.78,723.81
289,4,3103.89,6027.67
289,5,10701.67,20796.1
289,6,15036.56,27959.22
289,7,4068.67,6875.22
290,1,0,0.0
290,2,0.5,1.0
290,3,111.75,201.67
290,4,307.75,447.85
290,5,4190,4319.16
290,6,7936,7135.38
290,7,1297.25,1639.88
291,1,0,0.0
291,2,11,16.02
291,3,127.75,121.93
291,4,457.25,255.72
291,5,1266.5,1757.08
291,6,1949,1937.26
291,7,311.25,335.24
292,1,0,0.0
292,2,170,377.34
292,3,1962,4169.75
292,4,1894.2,3998.71
292,5,1441.4,2453.95
292,6,1350.6,2136.65
292,7,261.8,409.81
293,1,0,0.0
293,2,0,0.0
293,3,44.67,25.03
293,4,103.33,109.74
293,5,665,863.52
293,6,1133.33,1208.46
293,7,193,164.11
294,1,0,0.0
294,2,0.5,0.84
294,3,53,35.13
294,4,260,243.03
294,5,2045.67,2481.7
294,6,6546.33,7064.4
294,7,1651.17,1949.77
295,1,0,0.0
295,2,6,13.42
295,3,43.6,69.61
295,4,75.2,48.49
295,5,583.2,668.93
295,6,1116.2,839.44
295,7,163.6,68.0
296,1,0,0.0
296,2,0,0.0
296,3,13.5,10.82
296,4,90.67,110.38
296,5,528.83,1043.95
296,6,1914.67,3236.66
296,7,1070,1843.93
297,1,16.14,42.71
297,2,496.43,1292.28
297,3,2499.29,6197.55
297,4,10687.43,25519.3
297,5,8860.57,18521.61
297,6,7582.71,14490.48
297,7,2727.43,5758.2
298,1,0,0.0
298,2,1.22,2.05
298,3,61.44,44.7
298,4,114.67,57.95
298,5,694.44,509.86
298,6,1286.56,628.07
298,7,206.33,78.88
299,1,37.67,58.35
299,2,1148.67,1764.81
299,3,5654.5,8442.0
299,4,23364.17,34971.36
299,5,17764,25512.66
299,6,14364.67,20087.69
299,7,5569.5,7897.93
300,1,0,0.0
300,2,5.75,8.96
300,3,81.12,52.05
300,4,168.88,104.68
300,5,1038.62,676.47
300,6,2122,1542.25
300,7,345.25,330.56
301,1,0,0.0
301,2,0,0.0
301,3,13.33,15.28
301,4,54.67,36.25
301,5,405.33,354.61
301,6,649,420.98
301,7,119.67,84.62
302,1,0,0.0
302,2,0.38,0.74
302,3,37.25,30.69
302,4,94.5,70.26
302,5,443.38,311.08
302,6,1161.62,666.1
302,7,290.62,231.02
303,1,1,2.24
303,2,334.6,737.59
303,3,6729.6,14895.81
303,4,8245.2,17413.6
303,5,9545.2,16053.72
303,6,11474.6,12603.11
303,7,3259,3472.92
304,1,0,0.0
304,2,0.2,0.45
304,3,58,77.81
304,4,102.6,136.02
304,5,587,832.91
304,6,1143.6,1118.28
304,7,170.8,176.75
305,1,0,0.0
305,2,0,0.0
305,3,61.75,77.74
305,4,201.5,243.58
305,5,379,150.86
305,6,526.5,75.27
305,7,274.25,51.8
306,1,0,0.0
306,2,0,0.0
306,3,95.86,51.51
306,4,114.86,73.53
306,5,508.86,302.67
306,6,1500.29,730.49
306,7,307.29,212.31
307,1,0,0.0
307,2,0.25,0.5
307,3,27.5,13.7
307,4,86.75,102.28
307,5,235,152.86
307,6,731.5,525.89
307,7,488.25,494.65
308,1,0,0.0
308,2,1.14,2.04
308,3,61.86,26.94
308,4,182,85.31
308,5,1142.43,393.24
308,6,2845.43,916.27
308,7,411,168.66
309,1,0,0.0
309,2,0.38,0.74
309,3,64.5,32.68
309,4,125.12,35.81
309,5,570.12,237.11
309,6,1729.62,814.35
309,7,320.75,175.77
310,1,0,0.0
310,2,3.71,9.83
310,3,18.57,17.09
310,4,120.86,108.03
310,5,377.57,676.01
310,6,1221.43,2040.27
310,7,606.43,1321.04
311,1,0,0.0
311,2,15,34.58
311,3,180.29,360.18
311,4,246.57,494.9
311,5,655.57,1285.63
311,6,1095,1450.64
311,7,344,375.04
312,1,31.67,54.85
312,2,348,540.51
312,3,640.67,894.51
312,4,5010.33,7564.17
312,5,19211.67,24398.09
312,6,30735.33,29397.15
312,7,8102.67,7269.07
313,1,0,0.0
313,2,8.2,11.67
313,3,133,146.98
313,4,203.4,197.8
313,5,375.6,340.47
313,6,1128.6,666.93
313,7,334.8,219.05
314,1,32.29,55.14
314,2,983.86,1669.01
314,3,4794.86,8032.37
314,4,20178.43,33034.47
314,5,15629.14,23999.2
314,6,12551.71,18982.72
314,7,4779.86,7506.08
315,1,0,0.0
315,2,0,0.0
315,3,38,36.0
315,4,133,140.34
315,5,484.5,503.14
315,6,457.75,211.28
315,7,137.5,111.03
316,1,0,0.0
316,2,0,0.0
316,3,33.5,32.59
316,4,76.25,77.93
316,5,119.5,62.19
316,6,296.5,77.45
316,7,112.25,61.61
317,1,0,0.0
317,2,6.86,14.68
317,3,50.86,54.67
317,4,185.29,272.65
317,5,1036.14,1428.89
317,6,2243,3511.44
317,7,504.57,767.03
318,1,0,0.0
318,2,0.33,1.0
318,3,41,29.55
318,4,158.11,113.04
318,5,453.67,488.3
318,6,925.11,676.99
318,7,282,152.86
319,1,0,0.0
319,2,11,9.03
319,3,209.6,143.21
319,4,868.6,712.93
319,5,1767.2,1318.91
319,6,2101,1135.61
319,7,601.2,322.95
320,1,0,0.0
320,2,2.8,4.21
320,3,60.8,79.37
320,4,51.8,54.19
320,5,222.8,63.83
320,6,369,72.19
320,7,111.6,36.18
321,1,0,0.0
321,2,5.3,12.75
321,3,69.2,60.37
321,4,244.7,286.08
321,5,1563.9,2209.75
321,6,4113,6034.56
321,7,941.2,1457.1
322,1,0,0.0
322,2,3.4,2.3
322,3,87.4,67.83
322,4,223.8,141.68
322,5,532,334.38
322,6,1609.2,1062.78
322,7,647,409.09
323,1,0,0.0
323,2,1.33,1.21
323,3,71.83,101.25
323,4,186.17,214.87
323,5,2174.17,1894.49
323,6,5592.33,4607.09
323,7,1813.33,1332.33
324,1,0,0.0
324,2,24.4,41.03
324,3,137.8,175.76
324,4,228.8,136.66
324,5,513.4,269.89
324,6,1309.2,1000.25
324,7,410.6,297.61
325,1,0,0.0
325,2,0.5,0.84
325,3,63,47.9
325,4,282.67,255.43
325,5,2647.5,1725.55
325,6,7295.17,4311.09
325,7,1608.17,539.39
326,1,0,0.0
326,2,3.71,9.83
326,3,31.14,25.06
326,4,92.57,41.32
326,5,784.29,760.47
326,6,1975.57,1822.7
326,7,895.43,1219.0
327,1,0,0.0
327,2,8.75,14.84
327,3,59.75,42.58
327,4,135,86.45
327,5,770.75,406.83
327,6,2767.5,1933.07
327,7,1044.25,714.14
328,1,0,0.0
328,2,0,0.0
328,3,23,6.44
328,4,233.6,226.55
328,5,375.4,330.69
328,6,676.8,504.52
328,7,223.8,138.76
329,1,0,0.0
329,2,0,0.0
329,3,314,400.53
329,4,805.83,924.41
329,5,3363.17,4752.38
329,6,5942.17,6732.51
329,7,1185.83,1350.33
330,1,0,0.0
330,2,4.67,10.95
330,3,11.67,7.69
330,4,30.5,16.69
330,5,177.67,52.06
330,6,332.83,92.15
330,7,110.83,42.85
331,1,0,0.0
331,2,4,4.32
331,3,92.29,59.35
331,4,138.57,165.05
331,5,370.86,508.15
331,6,1311.29,1470.0
331,7,374.86,502.57
332,1,0,0.0
332,2,0,0.0
332,3,534.5,727.74
332,4,1391.33,1423.67
332,5,6133,6394.19
332,6,9605.17,7553.56
332,7,1756.17,1332.3
333,1,0,0.0
333,2,0.67,2.0
333,3,66,89.64
333,4,316.44,159.1
333,5,3041.44,2241.29
333,6,4837.78,2922.15
333,7,993.67,961.93
334,1,0,0.0
334,2,13.5,13.18
334,3,190,234.01
334,4,140,62.9
334,5,302.5,115.51
334,6,563.75,236.07
334,7,171,78.3
335,1,0,0.0
335,2,0,0.0
335,3,9.57,8.81
335,4,13,7.23
335,5,73.86,64.33
335,6,230,128.56
335,7,86,52.86
336,1,0,0.0
336,2,0,0.0
336,3,92,6.24
336,4,290.67,177.11
336,5,757.33,682.28
336,6,3451.33,2550.25
336,7,1170.67,812.5
337,1,0,0.0
337,2,7.71,10.83
337,3,127.43,121.74
337,4,224.86,151.32
337,5,996.86,1158.67
337,6,1487.57,1292.39
337,7,284.14,214.55
338,1,0,0.0
338,2,48.67,84.29
338,3,407,561.36
338,4,594,607.23
338,5,2256.67,1614.35
338,6,2952,2292.13
338,7,521.67,513.33
339,1,0,0.0
339,2,0.8,1.3
339,3,65,40.03
339,4,202.4,171.0
339,5,594,546.07
339,6,2435.2,2166.93
339,7,819.2,706.17
340,1,0,0.0
340,2,10.5,17.16
340,3,94,53.23
340,4,152.5,248.45
340,5,610.67,885.24
340,6,2164,2801.79
340,7,322.83,285.8
341,1,0,0.0
341,2,0.83,1.6
341,3,31.33,19.43
341,4,128.5,77.19
341,5,573.67,743.12
341,6,969.5,745.46
341,7,229.67,149.83
342,1,0,0.0
342,2,19.88,33.47
342,3,385.38,517.63
342,4,1113.12,1515.8
342,5,3136,4171.46
342,6,5723.12,8563.78
342,7,1224.62,1615.15
343,1,0,0.0
343,2,20.6,34.93
343,3,425.8,591.08
343,4,1409.8,1827.65
343,5,3726,4115.04
343,6,6900.8,6314.74
343,7,1548,1414.39
344,1,0,0.0
344,2,2,4.47
344,3,171.2,162.11
344,4,287.8,245.87
344,5,785.6,515.97
344,6,815.8,424.02
344,7,143,69.75
345,1,0,0.0
345,2,0,0.0
345,3,22.25,31.35
345,4,237.75,179.08
345,5,574.25,756.12
345,6,1834.75,1087.38
345,7,541,353.73
346,1,0,0.0
346,2,0.25,0.5
346,3,31,13.24
346,4,110,76.65
346,5,281.75,198.67
346,6,298,63.12
346,7,102.75,37.68
347,1,0,0.0
347,2,3.25,6.5
347,3,20,25.01
347,4,50.5,73.12
347,5,472.75,725.79
347,6,1057.25,1367.31
347,7,272,378.58
348,1,0,0.0
348,2,0,0.0
348,3,41.5,48.26
348,4,90.67,68.24
348,5,367.5,195.87
348,6,1696,941.04
348,7,346.5,226.6
349,1,0,0.0
349,2,4.71,9.88
349,3,58.86,41.44
349,4,118.57,71.97
349,5,564.29,252.93
349,6,1150.43,167.38
349,7,212.71,173.49
350,1,0,0.0
350,2,0,0.0
350,3,25.25,16.13
350,4,188.25,70.99
350,5,204.5,181.63
350,6,854,554.69
350,7,576,339.39
351,1,0,0.0
351,2,0.67,1.63
351,3,19.33,13.22
351,4,143.5,101.6
351,5,321.17,427.82
351,6,1058,1101.45
351,7,288,288.86
352,1,0,0.0
352,2,3.57,9.02
352,3,89,28.97
352,4,158.71,91.0
352,5,1035.14,820.78
352,6,2913.86,2576.24
352,7,636.71,701.04
353,1,0,0.0
353,2,3,5.35
353,3,100.25,73.87
353,4,202,192.78
353,5,3070,3392.36
353,6,4739.25,5490.1
353,7,545.25,688.33
354,1,0,0.0
354,2,3.6,4.93
354,3,30.2,28.13
354,4,45.4,49.72
354,5,253.6,155.02
354,6,505.8,123.1
354,7,150.6,48.36
355,1,16.14,42.71
355,2,490.71,1294.78
355,3,2507.57,6198.25
355,4,10768.29,25511.37
355,5,8479.57,18647.77
355,6,7032,14681.16
355,7,2715,5763.82
356,1,0,0.0
356,2,6,14.56
356,3,58.86,99.72
356,4,77.71,74.42
356,5,285.43,340.68
356,6,880.57,1300.92
356,7,244.14,310.91
357,1,0,0.0
357,2,0.2,0.63
357,3,16.1,18.23
357,4,57.6,55.81
357,5,231,79.79
357,6,434.8,327.91
357,7,134.2,110.56
358,1,0,0.0
358,2,1.67,4.08
358,3,56.67,50.51
358,4,222.5,90.8
358,5,676.33,472.0
358,6,2899.67,1421.54
358,7,904.33,518.85
359,1,0,0.0
359,2,1,2.0
359,3,18.75,17.63
359,4,99,40.24
359,5,490,477.92
359,6,2200.75,733.4
359,7,666,241.95
360,1,0,0.0
360,2,0.25,0.5
360,3,91.25,78.62
360,4,297.5,88.97
360,5,457.75,99.72
360,6,851.75,546.07
360,7,243.75,73.93
361,1,0,0.0
361,2,1.33,1.87
361,3,57.78,50.1
361,4,333,298.21
361,5,826.11,529.67
361,6,1800.44,1189.83
361,7,598.67,347.98
362,1,0,0.0
362,2,3.2,4.32
362,3,200,184.99
362,4,281.2,238.83
362,5,1028.8,643.62
362,6,1219.4,848.79
362,7,191.8,106.83
363,1,0,0.0
363,2,3.25,6.5
363,3,29,24.48
363,4,70.75,65.9
363,5,568.25,668.34
363,6,1207.75,1275.5
363,7,278.5,375.99
364,1,0,0.0
364,2,0,0.0
364,3,27,29.07
364,4,59.33,89.29
364,5,122.17,168.06
364,6,376.5,503.11
364,7,274,435.66
365,1,0,0.0
365,2,9,13.42
365,3,81,66.32
365,4,126,61.69
365,5,924.8,474.2
365,6,1669.2,564.63
365,7,213.6,48.14
366,1,0,0.0
366,2,0.75,1.5
366,3,38.75,14.15
366,4,165,87.85
366,5,658.25,550.08
366,6,2035.75,1792.25
366,7,705.25,389.86
367,1,15.83,38.78
367,2,171.17,392.37
367,3,509.5,629.88
367,4,2841.67,5369.03
367,5,10028.33,18412.79
367,6,14893,24405.44
367,7,3734,6169.23
368,1,0,0.0
368,2,0.14,0.38
368,3,20.43,28.12
368,4,71.71,50.74
368,5,351,290.99
368,6,1641.57,1454.9
368,7,325.71,167.33
369,1,0,0.0
369,2,0,0.0
369,3,6.75,7.59
369,4,247.75,192.06
369,5,937.75,534.35
369,6,1831.5,968.34
369,7,405,167.95
370,1,0,0.0
370,2,1.17,1.17
370,3,243.33,168.73
370,4,546.5,503.87
370,5,2197,1497.37
370,6,4311.33,3316.56
370,7,1124.17,924.02
371,1,0.14,0.38
371,2,8.14,21.54
371,3,194.86,487.46
371,4,1044.57,2720.56
371,5,4798.57,12178.9
371,6,10440,26373.5
371,7,2595.86,6602.55
372,1,0,0.0
372,2,77.4,170.28
372,3,3140.2,6115.3
372,4,10130.8,19229.36
372,5,13122.2,17302.37
372,6,12338.8,14032.68
372,7,2154.4,2271.15
373,1,0,0.0
373,2,0,0.0
373,3,92.29,144.4
373,4,237.71,350.16
373,5,1688.14,3282.81
373,6,2726.86,2542.3
373,7,357,256.86
374,1,0,0.0
374,2,0.78,1.56
374,3,52,58.26
374,4,63.89,55.43
374,5,136.67,120.95
374,6,593.67,628.63
374,7,132.22,133.64
375,1,0,0.0
375,2,5.86,15.06
375,3,54.29,52.83
375,4,242.43,253.36
375,5,909.29,1328.61
375,6,2339.29,3428.16
375,7,552.43,741.77
376,1,0,0.0
376,2,0.8,1.79
376,3,35.4,40.92
376,4,103.2,86.58
376,5,666.6,525.73
376,6,1971.6,1840.33
376,7,460.4,433.36
377,1,0,0.0
377,2,8.4,17.69
377,3,57.8,65.8
377,4,253.2,304.57
377,5,1045.2,1594.85
377,6,2609,4184.44
377,7,582.8,925.42
378,1,0,0.0
378,2,0.17,0.41
378,3,35.17,18.87
378,4,116.67,58.32
378,5,480,258.01
378,6,960.83,412.57
378,7,203.17,105.11
379,1,0,0.0
379,2,1,1.41
379,3,169.5,173.24
379,4,297.5,204.35
379,5,4367.5,116.67
379,6,7910,4813.98
379,7,1437,889.54
380,1,0,0.0
380,2,9.14,9.58
380,3,171.43,100.79
380,4,187.43,227.25
380,5,542.29,508.56
380,6,1708.86,1367.44
380,7,482.86,489.68
381,1,0,0.0
381,2,0,0.0
381,3,16.5,0.71
381,4,303.5,150.61
381,5,870.5,538.11
381,6,1963.5,36.06
381,7,600,29.7
382,1,0,0.0
382,2,1.33,2.8
382,3,54.17,50.85
382,4,434.67,528.2
382,5,529,473.57
382,6,602.5,403.04
382,7,100.83,40.89
383,1,0,0.0
383,2,6.33,14.09
383,3,56.33,103.66
383,4,135.17,131.81
383,5,312,228.81
383,6,753,573.0
383,7,173.33,111.41
384,1,0,0.0
384,2,1,2.24
384,3,33,25.4
384,4,108.86,20.46
384,5,370.71,276.58
384,6,1453.86,991.47
384,7,537,297.56
385,1,0,0.0
385,2,0.4,0.89
385,3,26.8,24.71
385,4,223.2,243.23
385,5,1547.6,1321.27
385,6,2624.4,1004.52
385,7,619.8,102.59
386,1,0,0.0
386,2,2.33,2.08
386,3,79.67,67.31
386,4,300.33,286.04
386,5,2121.33,2552.62
386,6,3469.33,3235.14
386,7,1077.67,1027.43
387,1,0,0.0
387,2,5,9.54
387,3,48.6,43.02
387,4,167,105.13
387,5,362,317.87
387,6,1176.4,1035.41
387,7,328.8,318.2
388,1,0,0.0
388,2,0,0.0
388,3,27.4,17.04
388,4,121.4,68.36
388,5,180.4,81.12
388,6,417.4,282.07
388,7,116,56.3
389,1,0,0.0
389,2,0.2,0.45
389,3,110.2,67.92
389,4,242.8,188.75
389,5,1131.6,744.89
389,6,2134.2,1118.41
389,7,285.6,186.21
390,1,0,0.0
390,2,5.2,11.63
390,3,44.6,62.05
390,4,44.6,68.12
390,5,240,314.91
390,6,818.2,1248.88
390,7,217,309.44
391,1,0,0.0
391,2,0.4,0.55
391,3,56,24.18
391,4,88.4,62.71
391,5,669.8,813.5
391,6,2203.4,2932.08
391,7,602.8,799.51
392,1,0,0.0
392,2,5.25,8.62
392,3,126.25,78.42
392,4,280,154.26
392,5,762,535.67
392,6,3016,2245.04
392,7,952.75,752.76
393,1,0,0.0
393,2,4.38,6.5
393,3,74.62,79.86
393,4,133.12,78.81
393,5,514.88,325.87
393,6,2053.25,927.92
393,7,604.62,338.32
394,1,0,0.0
394,2,5,10.81
394,3,116.17,71.21
394,4,212.67,87.49
394,5,984.83,599.45
394,6,2421.67,937.35
394,7,302.17,122.41
395,1,0,0.0
395,2,3.33,4.03
395,3,115.17,120.68
395,4,133.17,117.29
395,5,431,533.77
395,6,860.83,1188.97
395,7,205,225.4
396,1,0,0.0
396,2,51,114.44
396,3,471.14,712.99
396,4,655.29,1076.4
396,5,1646.86,2732.59
396,6,3481.86,6248.55
396,7,853.57,1479.24
397,1,0,0.0
397,2,138.14,312.23
397,3,1529.43,3489.38
397,4,1575.86,3322.32
397,5,1426,2102.36
397,6,1638,1961.31
397,7,328.43,379.34
398,1,0,0.0
398,2,0,0.0
398,3,167,165.29
398,4,429.75,403.17
398,5,2906.75,4154.53
398,6,4816,2644.02
398,7,1076,708.03
399,1,0,0.0
399,2,0.25,0.5
399,3,70.75,70.67
399,4,222.75,229.91
399,5,660.25,247.26
399,6,1175.75,1121.66
399,7,605.25,646.24
400,1,0,0.0
400,2,5.2,11.63
400,3,20.6,18.06
400,4,130.2,119.72
400,5,545.2,759.93
400,6,1825,2247.47
400,7,889.6,1520.81
401,1,0,0.0
401,2,0,0.0
401,3,8,9.49
401,4,21,21.57
401,5,73.75,66.1
401,6,281.75,293.83
401,7,69,92.52
402,1,0,0.0
402,2,0,0.0
402,3,0.67,1.15
402,4,12.67,15.95
402,5,22.67,12.5
402,6,49,62.07
402,7,1.33,1.15
403,1,0,0.0
403,2,0.5,0.58
403,3,74.25,60.16
403,4,232.25,167.93
403,5,983.5,501.04
403,6,2366.25,857.6
403,7,467,207.09
404,1,0,0.0
404,2,7.4,15.45
404,3,63.2,114.5
404,4,228,279.82
404,5,199.4,256.78
404,6,409,398.41
404,7,79.2,70.74
405,1,0,0.0
405,2,2,1.9
405,3,88.67,58.53
405,4,257.17,184.89
405,5,2250.83,1842.53
405,6,5681.17,4731.65
405,7,1703,1472.47
406,1,0,0.0
406,2,0.25,0.5
406,3,60.5,30.34
406,4,139.25,62.33
406,5,958.5,669.61
406,6,1542,782.74
406,7,336,184.51
407,1,0.29,0.49
407,2,8.43,21.43
407,3,199.14,485.68
407,4,1233.86,2670.75
407,5,4941.71,12122.77
407,6,10781.43,26249.45
407,7,2629.86,6592.13
408,1,0,0.0
408,2,1.75,3.5
408,3,83.25,79.06
408,4,278.75,349.16
408,5,3479.5,3956.8
408,6,8388.75,12569.66
408,7,2035.25,2687.06
409,1,0.33,0.58
409,2,19,32.91
409,3,433,749.98
409,4,2423.67,4148.56
409,5,10867.67,18656.45
409,6,23535,40437.71
409,7,5872,10127.32
410,1,0,0.0
410,2,334.4,737.7
410,3,6768.6,14874.23
410,4,8091.4,17493.78
410,5,8857.4,16386.3
410,6,11284.4,12664.87
410,7,3612.4,3651.91
411,1,0,0.0
411,2,0,0.0
411,3,605.33,392.58
411,4,1622,661.58
411,5,7205.67,4484.29
411,6,10539.67,7627.84
411,7,1904.67,1747.4
412,1,0,0.0
412,2,0.5,1.0
412,3,103,126.18
412,4,273.75,121.2
412,5,2831.5,1778.39
412,6,5505.25,4014.81
412,7,967.25,748.07
413,1,0,0.0
413,2,0,0.0
413,3,4.5,7.69
413,4,18.33,17.17
413,5,157.5,70.25
413,6,463,235.89
413,7,196,96.21
414,1,0,0.0
414,2,1.5,2.38
414,3,83.75,89.16
414,4,332.5,313.81
414,5,2542.25,2088.44
